Package	Version
RcppParallel	5.1.9
RCurl	1.98-1.16
Rdpack	2.6.1
reactable	0.4.4
reactR	0.6.1
readr	2.1.5
readxl	1.4.3
recipes	1.1.0
rematch	2.0.0
rematch2	2.1.2
remotes	2.5.0
renv	1.0.9
repr	1.1.7
reprex	2.1.1
reshape	0.8.9
reshape2	1.4.4
rex	1.2.1
rhdf5	2.46.1
rhdf5filters	1.14.1
Rhdf5lib	1.24.2
riskRegression	2023.12.21
risksetROC	1.0.4.1
rjson	0.2.23
rlang	1.1.3
rmarkdown	2.28
rmda	1.6
rmeta	3.0
Rmpfr	0.9-5
rms	6.8-1
rngtools	1.5.2
robustbase	0.99-2
ROCit	2.1.2
ROCR	1.0-11
roxygen2	7.3.1
rpart	4.1.23
rprojroot	2.0.4
Rsolnp	1.16
RSpectra	0.16-2
RSQLite	2.3.7
rstatix	0.7.2
rstudioapi	0.16.0
rsvd	1.0.5
Rttf2pt1	1.3.12
rversions	2.1.2
rvest	1.0.4
S4Arrays	1.2.1
S4Vectors	0.40.2
sandwich	3.1-1
sass	0.4.9
ScaledMatrix	1.10.0
scales	1.4.0
segmented	2.1-2
selectr	0.4-2
servr	0.31
sessioninfo	1.2.2
shape	1.4.6.1
shiny	1.9.1
showtext	0.9-7
showtextdb	3.0
SingleCellExperiment	1.24.0
sjlabelled	1.2.0
sjmisc	2.8.10
sna	2.8
snow	0.4-4
sodium	1.3.1
sourcetools	0.1.7-1
sp	2.1-3
spam	2.10-0
sparrow	1.8.0
SparseArray	1.2.4
SparseM	1.84-2
sparseMatrixStats	1.14.0
spatial	7.3-17
splines	4.3.3
splitstackshape	1.4.8
SQUAREM	2021.1
stargazer	5.2.3
statmod	1.5.0
statnet.common	4.9.0
stats	4.3.3
stats4	4.3.3
stringi	1.8.3
stringr	1.5.1
styler	1.10.3
SummarizedExperiment	1.32.0
superpc	1.12
SuppDists	1.1-9.8
survAUC	1.3-0
survcomp	1.52.0
survival	3.5-8
survivalROC	1.0.3.1
survivalsvm	0.0.5
sva	3.50.0
svglite	2.1.3
swagger	5.17.14.1
sys	3.4.2
sysfonts	0.8.9
systemfonts	1.0.6
tcltk	4.3.3
tensorA	0.36.2.1
testthat	3.2.1.1
textshaping	0.3.7
TH.data	1.1-2
tibble	3.2.1
tidycmprsk	1.1.0
tidyr	1.3.1
tidyselect	1.2.1
tidyverse	2.0.0
timechange	0.3.0
timeDate	4041.110
timereg	2.0.5
timeROC	0.4
tinytex	0.53
tools	4.3.3
translations	4.3.3
triebeard	0.4.1
truncnorm	1.0-9
tzdb	0.4.0
ucminf	1.2.2
unigd	0.1.2
UpSetR	1.4.0
urlchecker	1.0.1
urltools	1.7.3
usethis	3.0.0
utf8	1.2.4
utils	4.3.3
uuid	1.2-0
V8	5.0.1
vcd	1.4-13
vctrs	0.6.5
vegan	2.6-8
VGAM	1.1-10
VIM	6.2.2
viridis	0.6.5
viridisLite	0.4.2
visdat	0.6.0
visNetwork	2.1.2
vroom	1.6.5
waldo	0.5.3
websocket	1.4.2
webutils	1.2.1
whisker	0.4.1
withr	3.0.2
writexl	1.5.0
xfun	0.46
XML	3.99-0.17
xml2	1.3.6
xmlparsedata	1.0.5
xopen	1.0.1
xtable	1.8-4
yaml	2.3.10
yulab.utils	0.1.7
zip	2.3.1
zoo	1.8-12
